path	status code	hunks	area
.env.example	UU	2	root-and-ci
.github/workflows/benchmark-harbor.yml	UU	1	root-and-ci
.github/workflows/ci.yml	UU	8	root-and-ci
.github/workflows/docker.yml	UU	2	root-and-ci
.release/desktop-candidate.json	UU	1	root-and-ci
AGENTS.md	UU	2	root-and-ci
CHANGELOG.md	UU	2	root-and-ci
Justfile	UU	5	root-and-ci
crates/buzz-acp/README.md	UU	1	buzz-acp
crates/buzz-acp/src/acp.rs	UU	3	buzz-acp
crates/buzz-acp/src/base_prompt.md	UU	2	buzz-acp
crates/buzz-acp/src/config.rs	UU	5	buzz-acp
crates/buzz-acp/src/lib.rs	UU	61	buzz-acp
crates/buzz-acp/src/pool.rs	UU	126	buzz-acp
crates/buzz-acp/src/queue.rs	UU	51	buzz-acp
crates/buzz-acp/src/relay.rs	UU	15	buzz-acp
crates/buzz-acp/src/setup_mode.rs	UU	8	buzz-acp
crates/buzz-acp/src/usage.rs	UU	3	buzz-acp
crates/buzz-admin/Cargo.toml	UU	1	root-and-ci
crates/buzz-admin/src/main.rs	UU	2	root-and-ci
crates/buzz-agent/src/auth.rs	UU	3	root-and-ci
crates/buzz-agent/tests/fake_llm.rs	UU	8	root-and-ci
crates/buzz-audit/src/service.rs	UU	1	root-and-ci
crates/buzz-auth/src/nip98.rs	UU	1	root-and-ci
crates/buzz-cli/Cargo.toml	UU	1	root-and-ci
crates/buzz-cli/README.md	UU	1	root-and-ci
crates/buzz-cli/src/agent_management.rs	UU	1	root-and-ci
crates/buzz-cli/src/client.rs	UU	5	root-and-ci
crates/buzz-cli/src/commands/channels.rs	UU	3	root-and-ci
crates/buzz-cli/src/commands/issues.rs	UU	4	root-and-ci
crates/buzz-cli/src/commands/messages.rs	UU	3	root-and-ci
crates/buzz-cli/src/commands/mod.rs	UU	2	root-and-ci
crates/buzz-cli/src/commands/projects.rs	UU	5	root-and-ci
crates/buzz-cli/src/commands/repos.rs	UU	2	root-and-ci
crates/buzz-cli/src/lib.rs	UU	9	root-and-ci
crates/buzz-cli/src/links.rs	UU	6	root-and-ci
crates/buzz-db/src/migration.rs	UD	0	migrations
crates/buzz-media/src/storage.rs	UU	2	root-and-ci
crates/buzz-media/src/validation.rs	UU	2	root-and-ci
crates/buzz-push-gateway/Cargo.toml	UU	1	root-and-ci
crates/buzz-push-gateway/src/authority.rs	UU	13	root-and-ci
crates/buzz-push-gateway/src/config.rs	UU	5	root-and-ci
crates/buzz-push-gateway/src/http.rs	UU	7	root-and-ci
crates/buzz-push-gateway/src/main.rs	UU	1	root-and-ci
crates/buzz-push-gateway/src/postgres.rs	UU	8	root-and-ci
crates/buzz-relay/src/api/bridge.rs	UU	11	buzz-relay
crates/buzz-relay/src/api/git/mod.rs	UU	1	buzz-relay
crates/buzz-relay/src/api/git/policy.rs	UU	1	buzz-relay
crates/buzz-relay/src/api/git/transport.rs	UU	8	buzz-relay
crates/buzz-relay/src/api/media.rs	UU	2	buzz-relay
crates/buzz-relay/src/api/mod.rs	UU	1	buzz-relay
crates/buzz-relay/src/api/operator.rs	UU	3	buzz-relay
crates/buzz-relay/src/audio/handler.rs	UU	9	buzz-relay
crates/buzz-relay/src/audio/join.rs	UU	2	buzz-relay
crates/buzz-relay/src/config.rs	UU	17	buzz-relay
crates/buzz-relay/src/connection.rs	UU	2	buzz-relay
crates/buzz-relay/src/handlers/auth.rs	UU	1	buzz-relay
crates/buzz-relay/src/handlers/command_executor.rs	UU	8	buzz-relay
crates/buzz-relay/src/handlers/event.rs	UU	2	buzz-relay
crates/buzz-relay/src/handlers/identity_archive.rs	UU	1	buzz-relay
crates/buzz-relay/src/handlers/ingest.rs	UU	8	buzz-relay
crates/buzz-relay/src/handlers/push_lease.rs	UU	1	buzz-relay
crates/buzz-relay/src/handlers/req.rs	UU	4	buzz-relay
crates/buzz-relay/src/handlers/side_effects.rs	UU	10	buzz-relay
crates/buzz-relay/src/main.rs	UU	6	buzz-relay
crates/buzz-relay/src/nip11.rs	UU	19	buzz-relay
crates/buzz-relay/src/push_runtime.rs	UU	2	buzz-relay
crates/buzz-relay/src/router.rs	UU	2	buzz-relay
crates/buzz-relay/src/subscription.rs	UU	2	buzz-relay
crates/buzz-relay/src/workflow_sink.rs	UU	10	buzz-relay
crates/buzz-sdk/src/nip_oa.rs	UU	1	root-and-ci
crates/buzz-test-client/tests/e2e_relay.rs	UU	1	root-and-ci
crates/buzz-workflow/src/action_sink.rs	UU	1	buzz-workflow
crates/buzz-workflow/src/executor.rs	UU	4	buzz-workflow
crates/buzz-workflow/src/lib.rs	UU	2	buzz-workflow
